document_id,Financial,Operation,Idiosyncratic,Legal,Systematic,sustainability
project_no_28761-090224b0819a0b84_PDF,0.0007194562485599812,0.0062066241042059486,0.002422513488725799,0.0008640414216382363,0.002435637432531568,0.0002648135806870657
project_no_30951-090224b08199f674_PDF,4.5053398605424476e-05,0.006324930677977017,0.003004521504050739,0.001995293835118712,0.0025752005461025414,0.006010548692247415
project_no_32627-090224b08199e723_PDF,0.0007563368825537473,0.005056200439917209,0.002655371699315472,0.0006977320530477506,0.0040663857230654205,0.0008467951569882966
project_no_27778-090224b08199f290_PDF,0.0007293045523135812,0.005127498856208066,0.0020718153888078026,0.001457546947567004,0.0037026750058036613,0.000392566130509373
project_no_27488-090224b08199fadf_PDF,0.0008289630495938726,0.005276394936462435,0.0024167853638235883,0.0007325569456899496,0.0028933443900412497,0.00017211570740943943
project_no_27343-090224b0819a019b_PDF,0.0006596498551233838,0.006223728631153873,0.0036378844277882485,0.0012653953860286213,0.003269772651704945,0.003221289576598347
project_no_22164-090224b0819a1125_PDF,0.00040501055935432515,0.004951300905009086,0.0025970707191328344,0.0010252269213198283,0.0029261705532689125,0.0011146527440291359
unknown_project-090224b0819a0f45_PDF,0.00022519191241430177,0.002756624932414926,0.001551854278795359,0.0006783425589108211,0.0017175985901819128,0.0007627370626594892
project_no_32678-090224b08199e6fd_PDF,0.001232404139982261,0.003355603637403425,0.005430422342543951,0.000750491755731085,0.00761483267338582,0.00025646936162413315
unknown_project-090224b0819a0c66_PDF,0.000642586895627251,0.002943899247758072,0.0013516489544530416,0.0009366780713355273,0.0017813127994074321,0.0007495464758089507
project_no_27819-090224b0819a0231_PDF,0.00013404631348901152,0.00446478282446668,0.0015806243301635448,0.0006271383415279165,0.0023466699023452975,0.0005171807376209085
project_no_26-090224b0819a012a_PDF,0.0011659174481272682,0.006821235058511362,0.002769014639537115,0.0023585433042664565,0.004317696933824456,0.00043163991205757697
project_no_24454-090224b08199e5bc_PDF,0.0013718492668573275,0.005013052967444137,0.003002517555803586,0.000781132898571226,0.004672810917386822,0.0018198664193314986
unknown_project-090224b0819a10aa_PDF,0.0004176716230950822,0.0011679800065687192,0.0011903011426809733,0.0009005394213694954,0.00021504933116029003,0.0
project_no_24173-090224b08199fc0f_PDF,0.0007583625476320005,0.005565867756017095,0.0024529150710234132,0.0017906698028494867,0.004605946942076355,0.0007817572698872679
project_no_25903-090224b08199f0dd_PDF,0.0010622848544764249,0.007450733070704282,0.002408910787862135,0.0010926802294651918,0.0028459786731743304,0.00150067956728047
unknown_project-090224b0819a0b38_PDF,0.0013797812637826043,0.004249075575552385,0.0017729533798510374,0.0008338968402925033,0.0034704780318880572,0.0004030446889888746
unknown_project-090224b08199f807_PDF,0.0007608315520791432,0.0036107937049446683,0.0019520315997319754,0.0009848284383418813,0.00251880853736732,0.0004466535508052624
project_no_2405-090224b08199fcad_PDF,0.000188949240181299,0.006397637742678378,0.0013800442330931873,0.000838093993700869,0.002283717796346608,0.0007487250313255631
unknown_project-090224b08199e8fd_PDF,0.0,0.0029119496480157674,0.0,0.0,0.0019087715621928809,0.0
unknown_project-090224b08199f786_PDF,0.00046697786642324005,0.005083172033522737,0.002420562607131732,0.0012454774946067308,0.0030928398381013826,0.004547669383786493
project_no_26792-090224b08199e3a7_PDF,0.0004037074214370084,0.006746334075223576,0.002175737150981341,0.0009819390576889955,0.0033737313947562997,0.0028912022296087763
project_no_21-090224b08199faba_PDF,0.000889251726810868,0.004329455002980712,0.0010245445132878225,0.0005818216594307364,0.001804848025172768,0.004445211824391412
project_no_23914-090224b08199f492_PDF,0.0017830823841673994,0.004370907820767136,0.0025145047866035847,0.000680016088890806,0.004044794722623058,0.001302538493950581
project_no_29753-090224b08199e3e6_PDF,0.0005439902742725745,0.00543917397642162,0.0035992987516654793,0.0007453652986165177,0.0029631578783167896,0.0003288630769762599
project_no_29381-090224b08199f9b2_PDF,0.0002906226374780714,0.005008603349731462,0.0017900714485631567,0.0006045350847407301,0.0027582047866309043,0.0004136272988567628
project_no_26519-090224b0819a1030_PDF,0.0008470643899761398,0.004259055091768739,0.0015975549269668101,0.0004272244586695931,0.0021390496461523175,7.557686202861622e-05
project_no_23468-090224b0819a0073_PDF,0.007851696434413198,0.009830714769760713,0.004740976243869087,0.0002695170621509249,0.00759936977558001,0.0001310077651565684
unknown_project-090224b08199e857_PDF,0.0014387355064539773,0.006657508282109757,0.0011278279448685969,0.0007850525688884706,0.0019924854420326765,0.00020178376247981
project_no_24278-090224b08199e586_PDF,0.0,0.0037206126657748895,0.00017352600722019186,0.0002085653713536405,0.0005279527250441493,0.0001801246388963259
project_no_27669-090224b0819a0eeb_PDF,0.0007700518420823128,0.00851767478130105,0.0022523724818023444,0.0017355618279053533,0.0030777305055922563,0.0005442779045154141
unknown_project-090224b0819a0a9d_PDF,0.0010273953753225358,0.002830435679109126,0.0013434378886670784,0.0004880884610450044,0.0005100179560621342,0.0
unknown_project-090224b08199f061_PDF,0.0018277494278354308,0.008239668816421932,0.0024051573484579767,0.0015496395626787235,0.003304051955588277,0.00038856377772125694
unknown_project-090224b0819a10b6_PDF,0.000678203889794932,0.006750511599794675,0.0055702677667389235,0.0007136530384246396,0.004174703460475929,0.0007789773287737511
project_no_30729-090224b08199edf5_PDF,0.0011424927695225075,0.0069304583296898705,0.003131407113253879,0.0005825176636534896,0.004429881714195172,0.0009229908401329043
project_no_22571-090224b08199f835_PDF,0.0008128929150048359,0.005631267751174445,0.0023484281392117407,0.001140035705187169,0.0035611554957217925,0.0003869555098211255
project_no_24242-090224b0819a116d_PDF,0.0001328449501773481,0.005394035986135977,0.0016181429993653925,0.0006399055917590731,0.003039015433424183,0.00036840988003627095
project_no_27510-090224b08199ed2f_PDF,0.0008672176543042763,0.004967708236576848,0.0028256129664215985,0.000487664167163155,0.004365750191729257,0.00033320083868794393
project_no_28449-090224b0819a002d_PDF,0.0025032916978357735,0.007019593387311322,0.0026245601440802223,0.0005693723892528347,0.003845339397044946,0.00013737884963240245
unknown_project-090224b08199f948_PDF,0.00134531672092964,0.004196893469623791,0.001906353442101704,0.0006091227075074811,0.002476924719426964,0.0002791491513256688
